trial,lpa_precompute_us,euicc_commit_us,challenge_gen_us,tee_authtoken_us,euicc_mask_us,lpa_aggregate_us,server_verify_us,total_us,euicc_total_us,lpa_total_us,tee_total_us,server_total_us
273,3637.59,10055.85,99.33,39.57,1681.02,12.24,3515.02,19040.62,11736.86,3649.83,39.57,3515.02
274,3840.71,9592.22,95.28,38.90,1547.63,11.77,2763.67,17890.19,11139.85,3852.48,38.90,2763.67
275,3413.50,11172.13,129.12,65.77,1470.90,11.81,2895.29,19158.52,12643.03,3425.31,65.77,2895.29
276,4181.73,9283.53,100.93,40.03,1442.39,24.77,3574.84,18648.23,10725.92,4206.50,40.03,3574.84
277,3873.50,10263.14,130.31,49.24,1637.55,14.56,3145.43,19113.73,11900.69,3888.05,49.24,3145.43
278,5121.18,9748.78,100.04,38.98,1587.97,10.32,2766.81,19374.08,11336.75,5131.50,38.98,2766.81
279,3797.38,9110.92,154.01,44.55,1575.51,11.14,2761.61,17455.13,10686.44,3808.52,44.55,2761.61
280,3998.06,10310.89,130.11,48.46,1452.95,10.92,2827.70,18779.08,11763.84,4008.98,48.46,2827.70
281,3487.35,10942.40,101.73,41.69,1798.56,10.50,2676.83,19059.06,12740.96,3497.85,41.69,2676.83
282,4921.17,11395.94,156.01,61.80,1717.11,10.65,2708.67,20971.36,13113.06,4931.82,61.80,2708.67
283,3663.39,10841.89,97.32,43.39,1587.39,11.80,2818.32,19063.49,12429.28,3675.18,43.39,2818.32
284,3896.59,8984.82,135.56,50.39,2331.29,15.15,3352.85,18766.65,11316.11,3911.74,50.39,3352.85
285,3563.69,10164.01,99.10,40.43,1493.60,10.43,2608.42,17979.67,11657.61,3574.12,40.43,2608.42
286,3432.53,10480.71,123.13,43.24,1352.08,11.53,2778.87,18222.09,11832.79,3444.05,43.24,2778.87
287,4342.03,10226.07,117.54,36.99,1329.00,10.43,3549.20,19611.26,11555.07,4352.46,36.99,3549.20
288,7890.62,9807.40,102.66,128.85,1606.47,15.17,3286.10,22837.26,11413.87,7905.79,128.85,3286.10
289,3695.43,10066.52,94.38,37.53,1527.90,17.08,3718.57,19157.40,11594.42,3712.51,37.53,3718.57
290,3638.85,9562.15,86.90,35.39,1571.95,10.51,2988.86,17894.62,11134.10,3649.36,35.39,2988.86
291,4617.45,9937.04,118.46,50.79,1611.08,11.78,2602.69,18949.29,11548.12,4629.24,50.79,2602.69
292,3560.90,9032.95,91.74,32.52,1431.96,12.98,3129.54,17292.59,10464.92,3573.87,32.52,3129.54
293,4244.18,9366.65,85.25,35.83,1522.76,10.72,2634.72,17900.11,10889.41,4254.90,35.83,2634.72
294,3698.12,11688.92,208.39,74.59,2002.34,10.67,2552.62,20235.65,13691.27,3708.79,74.59,2552.62
295,3554.26,9736.34,86.21,36.21,1663.63,10.95,2904.04,17991.64,11399.97,3565.21,36.21,2904.04
296,4011.88,9527.14,97.28,39.60,1610.12,21.78,2728.83,18036.64,11137.26,4033.67,39.60,2728.83
297,3639.45,9589.53,123.66,46.18,1356.48,30.42,3245.91,18031.63,10946.01,3669.87,46.18,3245.91
298,4505.63,11669.84,175.95,54.21,1401.72,12.17,2597.16,20416.68,13071.57,4517.80,54.21,2597.16
299,3411.96,11123.68,163.99,46.96,1426.01,10.74,2829.93,19013.26,12549.69,3422.70,46.96,2829.93
300,3928.09,8863.28,104.97,43.31,1491.02,10.54,3400.10,17841.31,10354.30,3938.63,43.31,3400.10
301,5331.82,9412.87,104.72,44.61,1500.57,10.65,3478.41,19883.65,10913.44,5342.47,44.61,3478.41
302,3284.24,10438.55,144.30,64.39,1757.12,13.30,2659.50,18361.40,12195.67,3297.54,64.39,2659.50
303,4555.60,12003.41,100.34,39.28,1795.93,474.54,3288.81,22257.90,13799.34,5030.14,39.28,3288.81
304,3734.87,9838.05,82.90,35.29,1359.36,12.94,2833.37,17896.78,11197.40,3747.81,35.29,2833.37
305,3346.76,9562.40,92.27,35.97,1365.31,10.42,2876.91,17290.04,10927.71,3357.17,35.97,2876.91
306,3456.50,9478.73,89.91,36.88,1391.83,13.04,2819.34,17286.23,10870.56,3469.54,36.88,2819.34
307,3510.17,8875.96,81.44,33.45,1707.46,13.43,2663.47,16885.37,10583.42,3523.59,33.45,2663.47
308,3263.83,10590.34,91.54,37.59,1373.88,10.60,2586.20,17953.97,11964.21,3274.43,37.59,2586.20
309,3440.11,14027.89,93.65,37.84,1399.62,11.02,3053.02,22063.15,15427.51,3451.13,37.84,3053.02
310,3233.58,10545.05,142.01,53.47,1345.20,12.56,3543.80,18875.67,11890.25,3246.14,53.47,3543.80
311,3688.05,9366.28,94.86,39.93,1288.72,10.45,2616.96,17105.25,10655.00,3698.50,39.93,2616.96
312,3879.62,10697.49,141.49,118.97,1595.76,17.02,2953.84,19404.18,12293.25,3896.64,118.97,2953.84
313,3268.27,9871.65,149.34,51.16,1945.56,39.14,3179.32,18504.45,11817.21,3307.41,51.16,3179.32
314,3228.80,10972.54,182.86,49.77,2009.64,13.45,4597.26,21054.33,12982.18,3242.25,49.77,4597.26
315,3680.72,10639.98,108.46,41.09,2023.07,14.11,3161.01,19668.43,12663.05,3694.83,41.09,3161.01
316,3181.20,11816.18,103.21,41.67,1424.08,12.37,2859.51,19438.22,13240.26,3193.57,41.67,2859.51
317,4056.32,9990.03,98.59,40.90,2032.09,14.37,3415.49,19647.79,12022.12,4070.69,40.90,3415.49
318,4980.31,9807.03,101.33,43.37,1444.54,17.66,3497.67,19891.90,11251.57,4997.97,43.37,3497.67
319,4452.40,9244.33,107.69,39.40,1605.52,15.38,2650.53,18115.25,10849.85,4467.78,39.40,2650.53
320,3414.26,10051.72,96.27,40.90,1515.78,11.79,2740.65,17871.38,11567.50,3426.05,40.90,2740.65
321,4065.18,12235.55,138.83,42.74,2160.55,12.61,2933.09,21588.55,14396.10,4077.79,42.74,2933.09
322,3677.74,9160.79,88.88,68.55,1425.65,14.41,2882.02,17318.05,10586.44,3692.15,68.55,2882.02
323,3553.06,10075.38,154.14,64.97,2090.00,10.16,3006.05,18953.77,12165.38,3563.22,64.97,3006.05
324,4022.57,9828.28,93.44,37.66,1409.70,10.90,2684.75,18087.31,11237.98,4033.47,37.66,2684.75
325,3457.41,9288.28,89.10,35.97,1335.43,11.10,3034.47,17251.76,10623.71,3468.50,35.97,3034.47
326,3421.42,9819.53,90.50,36.28,1405.91,11.23,2717.40,17502.26,11225.44,3432.65,36.28,2717.40
327,3463.27,11627.18,111.18,57.76,2098.95,10.87,2594.80,19964.00,13726.13,3474.14,57.76,2594.80
328,3959.89,9127.35,84.74,36.61,1530.73,49.26,2997.79,17786.38,10658.09,4009.15,36.61,2997.79
329,3459.81,9007.95,94.89,33.88,1332.15,10.62,2620.44,16559.72,10340.10,3470.42,33.88,2620.44
330,5205.64,10679.70,99.79,39.80,1830.56,10.49,2644.97,20510.95,12510.26,5216.13,39.80,2644.97
331,4940.39,9473.44,96.84,66.77,1616.80,16.47,4672.63,20883.35,11090.24,4956.86,66.77,4672.63
332,5223.55,13566.87,175.66,60.41,2095.85,25.81,3739.34,24887.48,15662.71,5249.36,60.41,3739.34
333,3870.72,10905.26,137.16,50.24,1649.11,10.90,2975.87,19599.26,12554.37,3881.62,50.24,2975.87
334,4048.95,9804.93,113.67,81.94,1762.33,39.09,4873.23,20724.14,11567.26,4088.04,81.94,4873.23
335,5370.11,14288.00,109.82,41.70,1623.81,13.02,3371.85,24818.32,15911.81,5383.13,41.70,3371.85
336,3889.94,10474.65,277.54,176.69,2004.46,11.31,2796.40,19630.99,12479.11,3901.25,176.69,2796.40
337,3939.21,11714.51,106.10,42.54,1785.85,10.69,2699.95,20298.85,13500.36,3949.90,42.54,2699.95
338,4002.38,10190.50,106.54,42.69,1810.16,13.58,3846.31,20012.15,12000.66,4015.96,42.69,3846.31
339,4931.58,10497.26,108.74,42.63,1450.90,10.76,2777.39,19819.26,11948.16,4942.35,42.63,2777.39
